execution_id,case_id,condition,round,pair,n_i,n_j,cluster_jaccard,equivalent_coverage,related_coverage
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,1,AC,21,2,0.0,0.27380952380952384,0.3214285714285714
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,1,BC,21,2,0.0,0.0,0.0
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,2,AB,17,22,0.05405405405405406,0.10427807486631016,0.3355614973262032
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,2,AC,17,40,0.03636363636363636,0.0,0.23897058823529413
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,2,BC,22,40,0.08771929824561403,0.17613636363636365,0.4375
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,3,AB,24,29,0.08163265306122448,0.15229885057471265,0.4188218390804598
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,3,AC,24,43,0.08064516129032258,0.09738372093023256,0.5891472868217054
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-24,split-generic,3,BC,29,43,0.125,0.2020850040096231,0.5433039294306334
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,1,AB,33,30,0.016129032258064516,0.048484848484848485,0.14393939393939392
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,1,AC,33,21,0.0,0.0,0.03896103896103896
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,1,BC,30,21,0.0,0.04047619047619047,0.36428571428571427
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,2,AB,25,27,0.0196078431372549,0.09703703703703703,0.15407407407407409
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,2,AC,25,25,0.02040816326530612,0.04,0.22
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,2,BC,27,25,0.0196078431372549,0.07703703703703704,0.19407407407407407
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,3,AB,26,36,0.03333333333333333,0.11324786324786325,0.12713675213675213
