execution_id,case_id,condition,EQUIVALENT,A_ENTAILS_B,B_ENTAILS_A,UNRELATED,oneway_share_related,oneway_peer_weaken,oneway_peer_strengthen,weaken_target_rate,strengthen_target_rate,threshold
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-49,split-specialist-aligned,91,160,141,1724,0.7678571428571429,51,68,0.17040358744394618,0.2062780269058296,7.92
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-49,split-specialist-aligned,64,140,136,1776,0.8117647058823529,44,63,0.15695067264573992,0.18834080717488788,10.56
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-55,full-generic,297,254,362,1741,0.6746987951807228,108,163,0.2863070539419087,0.3817427385892116,0.0
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-55,full-generic,254,232,323,1845,0.6860321384425216,95,146,0.27385892116182575,0.3651452282157676,2.64
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-55,full-generic,224,204,279,1947,0.6831683168316832,83,123,0.23236514522821577,0.3112033195020747,5.28
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-55,full-generic,208,168,244,2034,0.6645161290322581,69,104,0.21161825726141079,0.27385892116182575,7.92
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-55,full-generic,156,154,203,2141,0.695906432748538,68,94,0.21991701244813278,0.25311203319502074,10.56
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-55,full-specialist,398,353,325,1648,0.6301115241635687,165,150,0.40086206896551724,0.38362068965517243,0.0
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-55,full-specialist,332,304,301,1787,0.6456776947705443,149,131,0.38362068965517243,0.34913793103448276,2.64
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-55,full-specialist,287,273,267,1897,0.652962515114873,129,116,0.34051724137931033,0.3103448275862069,5.28
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-55,full-specialist,227,247,250,2000,0.68646408839779,111,108,0.3146551724137931,0.2801724137931034,7.92
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-55,full-specialist,175,210,212,2127,0.7068676716917923,94,97,0.2801724137931034,0.27155172413793105,10.56
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-55,split-generic,235,161,205,1187,0.6089850249584027,67,68,0.2222222222222222,0.26455026455026454,0.0
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-55,split-generic,185,157,195,1251,0.6554934823091247,69,65,0.2275132275132275,0.24338624338624337,2.64
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-55,split-generic,149,142,172,1325,0.6781857451403888,59,56,0.20105820105820105,0.21693121693121692,5.28
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-55,split-generic,117,118,137,1416,0.6854838709677419,44,49,0.15343915343915343,0.19047619047619047,7.92
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-55,split-generic,80,107,118,1483,0.7377049180327869,39,53,0.13227513227513227,0.20634920634920634,10.56
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-55,split-specialist-aligned,175,209,174,1468,0.6863799283154122,76,56,0.23383084577114427,0.18407960199004975,0.0
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-55,split-specialist-aligned,143,177,150,1556,0.6957446808510638,65,51,0.21393034825870647,0.16417910447761194,2.64
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-55,split-specialist-aligned,109,157,138,1622,0.7301980198019802,63,44,0.22388059701492538,0.14427860696517414,5.28
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-55,split-specialist-aligned,81,137,117,1691,0.7582089552238805,56,38,0.20398009950248755,0.13432835820895522,7.92
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-55,split-specialist-aligned,59,116,100,1751,0.7854545454545454,49,31,0.1791044776119403,0.11940298507462686,10.56
idrbench-generation-idr-gen-level_1-8-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-8,full-generic,309,263,338,1604,0.6604395604395604,116,143,0.32195121951219513,0.40487804878048783,0.0
idrbench-generation-idr-gen-level_1-8-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-8,full-generic,263,240,302,1709,0.6732919254658385,104,127,0.2975609756097561,0.36585365853658536,2.64
idrbench-generation-idr-gen-level_1-8-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-8,full-generic,213,225,279,1797,0.702928870292887,106,116,0.2780487804878049,0.35609756097560974,5.28
idrbench-generation-idr-gen-level_1-8-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-8,full-generic,180,194,254,1886,0.7133757961783439,91,104,0.2731707317073171,0.3073170731707317,7.92
idrbench-generation-idr-gen-level_1-8-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-8,full-generic,135,175,206,1998,0.7383720930232558,82,78,0.24390243902439024,0.25365853658536586,10.56
idrbench-generation-idr-gen-level_1-8-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-8,full-specialist,258,209,285,1691,0.6569148936170213,82,142,0.2318181818181818,0.35,0.0
idrbench-generation-idr-gen-level_1-8-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-8,full-specialist,212,202,259,1770,0.6849925705794948,80,136,0.22272727272727272,0.33636363636363636,2.64
