execution_id,case_id,condition,agent,round,scope,n,B,C,X,G,U,B_share,C_share,X_share,G_share,U_share,own_share,proposal_share
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,1,delivered,0,0,0,0,0,0,,,,,,,
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,2,output,29,12,7,9,1,0,0.41379310344827586,0.2413793103448276,0.3103448275862069,0.034482758620689655,0.0,0.5689655172413793,0.7931034482758621
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,2,input,148,59,30,48,11,0,0.39864864864864863,0.20270270270270271,0.32432432432432434,0.07432432432432433,0.0,0.5608108108108109,0.5945945945945946
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,2,source,32,22,10,0,0,0,0.6875,0.3125,0.0,0.0,0.0,0.6875,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,2,peer,86,27,14,38,7,0,0.313953488372093,0.16279069767441862,0.4418604651162791,0.08139534883720931,0.0,0.5348837209302325,0.7325581395348837
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,2,self,43,18,10,11,4,0,0.4186046511627907,0.23255813953488372,0.2558139534883721,0.09302325581395349,0.0,0.5465116279069767,0.6046511627906976
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,2,delivered,86,27,14,38,7,0,0.313953488372093,0.16279069767441862,0.4418604651162791,0.08139534883720931,0.0,0.5348837209302325,0.7325581395348837
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,3,output,35,14,4,11,6,0,0.4,0.11428571428571428,0.3142857142857143,0.17142857142857143,0.0,0.5571428571428572,0.6857142857142857
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,3,input,230,87,43,85,15,0,0.3782608695652174,0.18695652173913044,0.3695652173913043,0.06521739130434782,0.0,0.5630434782608695,0.691304347826087
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,3,source,32,22,10,0,0,0,0.6875,0.3125,0.0,0.0,0.0,0.6875,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,3,peer,147,47,23,67,10,0,0.3197278911564626,0.1564625850340136,0.4557823129251701,0.06802721088435375,0.0,0.5476190476190477,0.782312925170068
